timestamp,namespace,resource_type,resource_name,field,declared,observed,editor
2025-08-25T00:10:59Z,sandbox-nginx,HPA,test-nginx, maxReplicas,8,5,ShiZ7
2025-08-25T00:10:59Z,sandbox-nginx,HPA,test-nginx, CPU Target,88%,100%,ShiZ7
2025-08-25T00:10:59Z,sandbox-nginx,Service,test-nginx, Service TargetPort,7070,8080,ShiZ7
